Predicted	True	Reviews
TRUTHFULPOSITIVE	TRUTHFULNEGATIVE	"Upon first entering the hotel, we were greeted by the most friendly and helpful bellmen I have ever encountered. Through our 2 week stay, they told us to ""have a nice day"" as we left in the AM and welcomed us back upon our return. Breakfast is served in the AM, and the servers were as delightful as the bellmen. It was a very enjoyable stay."
TRUTHFULNEGATIVE	TRUTHFULPOSITIVE	"If you have not tried the Millennium Knickerbocker for a stay in Chicago, do it now! We have stayed (and enjoyed) at the Drake, Intercontinental and others, but we always now come back to the Knickerbocker. Why? If ""Charlie"" the doorman is on duty and you pull up, he will welcome you. He'll probably ask your name. Why? Because he wants to call you by your name every time he will see you during your visit. Somehow he even lets the other employees know your name and all of a sudden, doorman, receptionist, bellman, waiter are referring to you by name. The employees are what makes this hotel. Yes, it has everything to offer like all hotels, but the others don't have the fine people (including the cleaning staff) these folks have. Try it, you will like it. We look forward to our next visit already... "
TRUTHFULNEGATIVE	DECEPTIVENEGATIVE	"The Talbott is definitely not worth the price you pay. I was really looking forward to staying here since it was recently renovated & was in a good location. Unfortunately, it just didn't live up to the hype. ""Recently renovated"" apparently means it was redone in the last decade, not the last year. It was just very tired-looking. Also very disappointing was the food, and the service was hit or miss. I expected better from a hotel of this caliber. Bottom line, there are better places with better value. Stay elsewhere."
TRUTHFULPOSITIVE	DECEPTIVEPOSITIVE	If you have the money, Amalfi Hotel is the place for you. All the way from it's 316 thread count, Egyptian linens to the 24 hour fitness center. This hotel has anything you would need or want. The rooms are equipped with free wi-fi, 32in plasma televisions, multi-head showers and much, much more. You can do anything from fine dining and wine to working on the computers in the business center, which is equipped with computers free to your use. After a long night at the bar, you can get a complimentary breakfast at each floor. Over all the service is great as well. I recommend this hotel to any one from business professionals to young singles looking for a good time. I plan on coming back very soon.
TRUTHFULNEGATIVE	DECEPTIVENEGATIVE	I was very disappointed with this hotel. I have stayed in other Swissotels and enjoyed them very much, but the service can only be described as aloof. There was no warmth during the prolonged checkin procedure, and the woman repeatedly asked me to provide information I had given her minutes ago. Precise, indeed. Room service took forever to pick up (good sign in a way=busy because they are good), but the food arrived very late and very cold. The man tried to replace it, but than took another hour, and I was never given a price reduction, free dessert, or anything to apologize. As for cleanliness, they must be next to godly, as they knocked on my door at 0800, despite the fact I had a doorknocker requesting no service (I'm a late sleeper.) Very disappointed with my stay. This hotel clearly did not help build the chain's reputation.
TRUTHFULPOSITIVE	DECEPTIVEPOSITIVE	The Hyatt Regency Chicago Hotel offered PDA or kiosk check-in which was great. They also offer hypo-allergenic rooms with air purification systems which gave us a much more delightful stay. We enjoyed the 24/7 stay fit gym, iHome stereo with iPod docking station, flat screen tv with video on demand and Wi-Fi. Concierge staff was very helpful with assisting us with finding excellent award winning dining and popular attractions in the area. We enjoyed our stay and will definetly return to this hotel in the future for family and business trips.
DECEPTIVEPOSITIVE	TRUTHFULPOSITIVE	A bunch of us got together and we had a great time in this hotel we asked for limes and they gave us like a punch bowl of them the rooms were so awesome you really have to see it to believe how extradionary this hotel is i love the decorations on every floor and being surrounded by such elegance. Will definitely stay here again 
TRUTHFULPOSITIVE	DECEPTIVEPOSITIVE	Very nice hotel, better than expected. The hot breakfast is great in the morning, but the Dinner at night goes above and beyond (even free wine!) The rooms are pretty good size, well furnished, and clean. I liked the view from my room. I used the fitness center and although did not have everything I would have liked, was adequate. I will say the pool is really nice and offers a pretty sweet view. The staff was friendly and helpful; being my first time in Chicago they were able to point me in the right direction and saved me some frustration. I would definitely recommend this hotel. 
TRUTHFULPOSITIVE	DECEPTIVEPOSITIVE	great hotel. went for the weekend with my wife and had a wonderful time. The hotel is one of the cleanest well kept hotels i have stayed at. Beautifull location on michigan ave downtown chicago overlooking grant park beautifull scenery. Great staff and wonderfull food as well, i would recomend this hotel for anyone who is looking for a nice vacation or going for work.
TRUTHFULPOSITIVE	TRUTHFULNEGATIVE	at check in, the girl gave us a smoking room. we asked for nonsmoking. i had to get another room. it was by the elevators. loud! really loud!. the new room didn't have a shower door. so every day water spilled on to the floor and wet the carpet. the public transportation is amazing. you don't need a car in chicago. you can get anywhere by train or bus. it's fast too. Area recommendations chicago is great! good shopping, good food (ginos east!!!) and great bars. the tornado that knocked out the windows in the sears tower was really cool! i loved being in the hardest rain storm i've ever seen!
